Probe	ProbeChromosome	ProbecM	Probebp
Contig12816_at	6	24.5396600567	16087760
Contig12817_at	1	72.3796033994	391332840
Contig12818_at	1	103.824362606	435738480
Contig12820_at	5	70.1388888889	422130720
Contig12824_at	6	75.4957507082	485528200
Contig12826_at	unknown	unknown	unknown
Contig12828_s_at	unknown	unknown	unknown
Contig12833_at	unknown	unknown	unknown
Contig12834_at	unknown	unknown	unknown
Contig12835_at	4	44.9008498584	45340600
Contig12836_at	unknown	unknown	unknown
Contig12838_at	7	64.8016997167	114654120
Contig12839_at	1	51.5062352151	288571560
Contig12840_at	2	55.5417847025	197075680
Contig12841_at	2	36.7917847025	39578320
Contig12842_at	1	85.7524348559	407518560
Contig12844_at	unknown	unknown	unknown
Contig12845_at	2	140.934844193	615160280
Contig12853_at	unknown	unknown	unknown
Contig12854_at	6	55.5240793201	311118480
Contig12855_at	unknown	unknown	unknown
Contig12856_at	unknown	unknown	unknown
Contig12858_at	6	55.0283286119	264814400
Contig1285_s_at	unknown	unknown	unknown
Contig12861_at	unknown	unknown	unknown
Contig12862_at	unknown	unknown	unknown
Contig12863_at	unknown	unknown	unknown
Contig12864_at	unknown	unknown	unknown
Contig12868_at	4	52.3371104816	347875800
Contig12869_at	5	92.1527777778	459121160
Contig12871_at	unknown	unknown	unknown
Contig12872_at	unknown	unknown	unknown
Contig12873_at	3	68.2011331445	452420200
Contig12879_at	5	41.25	35030000
Contig12882_at	6	104.957507082	522565760
Contig12883_at	unknown	unknown	unknown
Contig12884_at	unknown	unknown	unknown
Contig12885_at	unknown	unknown	unknown
Contig12888_s_at	unknown	unknown	unknown
Contig12893_at	3	51.6288951841	323522200
Contig12896_at	2	60.6940509915	464161760
Contig12897_at	4	99.0793201133	520570600
Contig12906_at	1	80.2407932011	401964600
Contig12909_at	unknown	unknown	unknown
Contig12910_at	2	135.623229462	607710360
Contig12911_at	3	83.7293437205	477422320
Contig12916_s_at	unknown	unknown	unknown
Contig12917_at	unknown	unknown	unknown
Contig12918_at	6	53.7535410765	199601560
Contig12919_s_at	7	77.2662889518	498124120
Contig12922_at	unknown	unknown	unknown
Contig12923_at	unknown	unknown	unknown
Contig12924_at	unknown	unknown	unknown
Contig12925_s_at	3	96.4235127478	493200080
Contig12928_at	unknown	unknown	unknown
Contig12931_at	7	67.36898017	132176560
Contig12932_at	2	56.1968838527	310135160
Contig12935_at	unknown	unknown	unknown
Contig12936_at	unknown	unknown	unknown
Contig12938_at	unknown	unknown	unknown
Contig12940_at	6	71.671388102	473048840
Contig12942_at	unknown	unknown	unknown
Contig12944_at	4	101.558073654	522604200
Contig12945_at	unknown	unknown	unknown
Contig12946_at	4	50.9915014164	124404240
Contig12951_at	3	51.0977337111	168313880
Contig12952_at	unknown	unknown	unknown
Contig12953_at	5	44.2361111111	127397600
Contig12955_at	3	40.6515580737	38774800
Contig12956_at	unknown	unknown	unknown
Contig12958_at	unknown	unknown	unknown
Contig12959_at	unknown	unknown	unknown
Contig12960_at	6	54.3201133144	208937520
Contig12964_at	unknown	unknown	unknown
Contig12965_at	unknown	unknown	unknown
Contig12966_at	unknown	unknown	unknown
Contig12967_at	unknown	unknown	unknown
Contig12968_at	3	59.2776203966	411717200
Contig12973_at	unknown	unknown	unknown
Contig12976_at	unknown	unknown	unknown
Contig12977_at	4	43.342776204	42300120
Contig12978_at	1	42.0679886686	41172960
Contig12980_at	1	55.4123291605	313697680
Contig12981_at	unknown	unknown	unknown
Contig12984_at	7	70.9631728045	342961680
Contig12986_at	unknown	unknown	unknown
Contig1298_at	unknown	unknown	unknown
Contig12992_at	4	18.4844192635	11720480
Contig12994_at	unknown	unknown	unknown
Contig12995_at	unknown	unknown	unknown
Contig12999_at	unknown	unknown	unknown
Contig13000_at	4	50.9915014164	125748400
Contig13001_at	unknown	unknown	unknown
Contig13002_at	2	55.5063739377	162784720
Contig13004_at	unknown	unknown	unknown
Contig13005_at	unknown	unknown	unknown
Contig13009_at	unknown	unknown	unknown
Contig1300_x_at	unknown	unknown	unknown
Contig13012_at	unknown	unknown	unknown
Contig13013_at	unknown	unknown	unknown
Contig13017_at	unknown	unknown	unknown
Contig13019_at	unknown	unknown	unknown
Contig13020_at	unknown	unknown	unknown
Contig13021_at	unknown	unknown	unknown
Contig13022_s_at	unknown	unknown	unknown
Contig13025_at	7	23.7606232295	28461720
Contig13026_at	unknown	unknown	unknown
Contig13030_at	unknown	unknown	unknown
Contig13032_at	unknown	unknown	unknown
Contig13033_at	6	75.4957507082	485528200
Contig13034_at	2	55.966713881	272560680
Contig13036_at	5	81.9791666667	445752720
Contig13037_at	unknown	unknown	unknown
Contig13038_at	3	8.4277620397	8017840
Contig13039_x_at	unknown	unknown	unknown
Contig13041_at	3	51.6288951841	275397800
Contig13044_at	unknown	unknown	unknown
Contig13045_at	unknown	unknown	unknown
Contig13047_at	7	67.5991501417	143526280
Contig13052_at	7	138.223953415	596733880
Contig13053_at	unknown	unknown	unknown
Contig13054_at	unknown	unknown	unknown
Contig13057_at	unknown	unknown	unknown
Contig13058_s_at	unknown	unknown	unknown
Contig13060_at	unknown	unknown	unknown
Contig13062_at	7	70.9631728045	353334280
Contig13063_at	unknown	unknown	unknown
Contig13064_at	unknown	unknown	unknown
Contig13065_at	6	113.243626062	527627440
Contig13066_at	7	75.4426345609	461394080
Contig13070_at	2	43.8385269122	53776320
Contig13073_at	2	55.559490085	213091520
Contig13074_at	4	99.0793201133	521839120
Contig13078_s_at	5	160.486111111	545478480
Contig13079_at	4	51.4164305949	217548080
Contig13085_at	unknown	unknown	unknown
Contig13086_s_at	2	46.388101983	59502640
Contig13087_at	unknown	unknown	unknown
Contig13089_at	3	49.2917847025	123445720
Contig1308_at	unknown	unknown	unknown
Contig13091_s_at	7	132.648725213	591833400
Contig13094_s_at	unknown	unknown	unknown
Contig13096_at	7	75.6147702235	462637800
Contig13098_at	unknown	unknown	unknown
Contig13100_at	unknown	unknown	unknown
Contig13102_at	5	3.22420634919	3124800
Contig13104_at	unknown	unknown	unknown
Contig13105_s_at	unknown	unknown	unknown
Contig13107_at	unknown	unknown	unknown
Contig1310_at	6	60.5169971672	405765200
Contig13110_at	3	48.4516279251	114731000
Contig13111_at	unknown	unknown	unknown
Contig13112_at	2	59.4900849858	453384920
Contig13113_at	1	50.8498583569	284168320
Contig13116_at	unknown	unknown	unknown
Contig13118_at	unknown	unknown	unknown
Contig13119_at	unknown	unknown	unknown
Contig13120_at	unknown	unknown	unknown
Contig13125_at	3	137.075070822	541185600
Contig13126_at	unknown	unknown	unknown
Contig13128_at	unknown	unknown	unknown
Contig13130_at	unknown	unknown	unknown
Contig13131_at	unknown	unknown	unknown
Contig13134_at	unknown	unknown	unknown
Contig13136_at	5	41.8055555556	50220000
Contig13140_at	unknown	unknown	unknown
Contig13143_at	unknown	unknown	unknown
Contig13144_at	unknown	unknown	unknown
Contig13145_at	unknown	unknown	unknown
Contig13147_at	unknown	unknown	unknown
Contig13149_at	1	53.3640226629	304723800
Contig1314_s_at	unknown	unknown	unknown
Contig13150_at	unknown	unknown	unknown
Contig13152_at	7	2.0538243626	5010840
Contig13155_at	3	74.7424671646	462702280
Contig13157_at	2	58.888101983	445414200
Contig13158_at	unknown	unknown	unknown
Contig1315_s_at	7	74.2917847025	441907480
Contig13162_at	unknown	unknown	unknown
Contig13164_at	unknown	unknown	unknown
Contig13168_at	unknown	unknown	unknown
Contig13169_at	unknown	unknown	unknown
Contig13172_at	unknown	unknown	unknown
Contig13173_at	unknown	unknown	unknown
Contig13174_at	4	51.8767705382	311654160
Contig13177_at	2	72.521246459	503937240
Contig13179_at	2	55.559490085	229965440
Contig13183_at	1	15.0849858357	10672680
Contig13185_at	unknown	unknown	unknown
Contig13186_at	unknown	unknown	unknown
Contig13187_at	2	57.0290368272	384873680
Contig13188_at	unknown	unknown	unknown
Contig13189_at	unknown	unknown	unknown
Contig13190_at	7	97.6550747289	544488960
Contig13194_at	unknown	unknown	unknown
Contig13197_at	3	51.4872521246	263109400
Contig13200_at	1	54.7804532577	309919400
Contig13201_at	unknown	unknown	unknown
Contig13203_at	unknown	unknown	unknown
Contig13204_at	unknown	unknown	unknown
Contig13205_at	unknown	unknown	unknown
Contig13209_at	4	50.9915014164	142580160
Contig13210_at	unknown	unknown	unknown
Contig13212_at	unknown	unknown	unknown
Contig13214_at	unknown	unknown	unknown
Contig13215_at	unknown	unknown	unknown
Contig13216_at	7	132.648725213	591833400
Contig13217_at	2	55.5417847025	192843560
Contig1321_at	unknown	unknown	unknown
Contig13220_at	unknown	unknown	unknown
Contig13221_at	unknown	unknown	unknown
Contig13222_at	6	56.4093484419	348583840
Contig13223_at	unknown	unknown	unknown
Contig13226_at	unknown	unknown	unknown
Contig13227_at	unknown	unknown	unknown
Contig13228_at	3	103.721081209	500131680
Contig13230_at	unknown	unknown	unknown
Contig13234_at	1	47.6628895184	113766280
Contig13235_at	3	123.229461756	528175520
Contig13236_at	3	50.4957507082	151342000
Contig13237_at	unknown	unknown	unknown
Contig13238_at	7	73.5835694051	425225760
Contig13240_s_at	1	56.6066369891	322135880
Contig13241_at	unknown	unknown	unknown
Contig13243_s_at	4	44.9008498584	45340600
Contig13245_at	unknown	unknown	unknown
Contig13248_at	5	44.7916666667	288699280
Contig1324_at	5	37.8472222222	28640280
Contig13250_at	7	44.4050991501	54354160
Contig13253_at	7	12.7478753541	11229440
Contig13254_at	5	59.8010964755	405320040
Contig13255_at	unknown	unknown	unknown
Contig13256_at	unknown	unknown	unknown
Contig13257_at	unknown	unknown	unknown
Contig1325_s_at	unknown	unknown	unknown
Contig13261_at	3	109.844192635	511570680
Contig13262_at	unknown	unknown	unknown
Contig13263_at	unknown	unknown	unknown
Contig13265_at	1	48.0878186969	133892720
Contig13267_at	2	57.8358963982	418232160
Contig13268_at	1	103.824362606	435738480
Contig13271_at	unknown	unknown	unknown
Contig13272_at	4	101.558073654	523245280
Contig13273_at	1	37.5	34630720
Contig13274_at	unknown	unknown	unknown
Contig13277_at	5	44.7916666667	288699280
Contig13278_at	5	43.9583333333	73462560
Contig13280_at	unknown	unknown	unknown
Contig13281_at	1	71.0339943343	384739760
Contig13282_at	7	70.9631728045	372016120
Contig13283_at	unknown	unknown	unknown
Contig13285_at	3	40.3753541077	37481480
Contig13286_at	5	129.444444444	504780440
Contig13287_at	2	56.3739376771	316847280
Contig13288_at	7	69.2634560907	196707400
Contig13289_at	unknown	unknown	unknown
Contig1328_s_at	unknown	unknown	unknown
Contig13290_at	unknown	unknown	unknown
Contig13293_at	5	125.763888889	497603320
Contig13294_at	unknown	unknown	unknown
Contig13296_at	3	40.3753541077	37481480
Contig13297_at	2	27.6912181303	30859880
Contig13298_at	unknown	unknown	unknown
Contig13303_at	7	76.5580736544	474388040
Contig13304_at	unknown	unknown	unknown
Contig13305_at	7	140.439093484	598732760
Contig13307_at	unknown	unknown	unknown
Contig1330_at	unknown	unknown	unknown
Contig13311_at	unknown	unknown	unknown
Contig13312_at	unknown	unknown	unknown
Contig13313_at	unknown	unknown	unknown
Contig13314_at	unknown	unknown	unknown
Contig13317_at	unknown	unknown	unknown
Contig13318_at	5	38.125	32023000
Contig13327_at	6	68.2011331445	464273360
Contig13331_s_at	3	57.0821529745	404501640
Contig13333_at	unknown	unknown	unknown
Contig13339_at	3	51.2039660057	178834040
Contig13343_at	7	63.9518413598	108678560
Contig13345_at	unknown	unknown	unknown
Contig13347_at	6	30.0991501416	20608800
Contig13348_at	3	50.4957507082	145349080
Contig13349_at	1	103.824362606	435738480
Contig1334_at	3	46.3172804533	84943720
Contig13350_at	3	137.075070822	541185600
Contig13354_at	unknown	unknown	unknown
Contig13355_at	unknown	unknown	unknown
Contig13357_at	4	51.2039660057	172534840
Contig13359_at	unknown	unknown	unknown
Contig13361_at	5	75.9027777778	438008920
Contig13362_s_at	unknown	unknown	unknown
Contig13364_at	3	43.3597146866	40396720
Contig13367_at	unknown	unknown	unknown
Contig13370_s_at	3	40.6515580737	38774800
Contig13373_at	6	60.269121813	403659680
Contig13374_at	7	52.8505665722	74522760
Contig13375_at	unknown	unknown	unknown
Contig13377_at	4	91.1827195468	507074440
Contig13379_at	3	59.6317280453	417066560
Contig13382_at	unknown	unknown	unknown
Contig13384_at	unknown	unknown	unknown
Contig13387_at	unknown	unknown	unknown
Contig1338_at	unknown	unknown	unknown
Contig13393_at	unknown	unknown	unknown
Contig13394_at	unknown	unknown	unknown
Contig13399_at	unknown	unknown	unknown
Contig13400_s_at	4	104.758088564	530897320
Contig13403_at	1	61.5084985836	361019800
Contig13405_at	unknown	unknown	unknown
Contig13406_at	unknown	unknown	unknown
Contig13407_s_at	unknown	unknown	unknown
Contig13409_at	unknown	unknown	unknown
Contig13410_at	unknown	unknown	unknown
Contig13411_at	5	47.6483196159	347092120
Contig13413_at	3	143.484419264	549396880
Contig13414_at	5	96.5972222222	467995840
Contig13416_at	7	65.1203966005	115948680
Contig13417_at	unknown	unknown	unknown
Contig13418_at	unknown	unknown	unknown
Contig13419_at	5	48.125	352791160
Contig1341_at	unknown	unknown	unknown
Contig13420_at	unknown	unknown	unknown
Contig13421_at	4	1.1331444759	3810520
Contig13422_at	unknown	unknown	unknown
Contig13424_at	unknown	unknown	unknown
Contig13425_at	unknown	unknown	unknown
Contig13428_at	1	4.9575070822	4054800
Contig1342_at	unknown	unknown	unknown
Contig13431_at	unknown	unknown	unknown
Contig13434_at	3	155.028328612	564426920
Contig13435_at	7	75.2124645892	456718040
Contig13438_at	5	74.9305555556	435727320
Contig13442_at	4	98.1232294618	516219440
Contig13445_at	5	48.7326388889	359158560
Contig13454_at	unknown	unknown	unknown
Contig13456_at	unknown	unknown	unknown
Contig13457_s_at	6	69.7946175637	471021440
Contig13459_at	unknown	unknown	unknown
Contig13460_s_at	unknown	unknown	unknown
Contig13463_at	unknown	unknown	unknown
Contig13464_at	7	93.8385269122	538962280
Contig13466_at	unknown	unknown	unknown
Contig13467_at	unknown	unknown	unknown
Contig13468_at	2	40.7932011331	47783400
Contig13470_at	2	120.998583569	594341920
Contig13476_at	unknown	unknown	unknown
Contig13478_at	unknown	unknown	unknown
Contig13479_at	7	84.5663543256	521852760
Contig13481_at	unknown	unknown	unknown
Contig13482_at	6	116.147308782	529949960
Contig13483_at	unknown	unknown	unknown
Contig13485_s_at	unknown	unknown	unknown
Contig1348_at	5	144.652777778	525835640
Contig13490_at	4	76.2747875354	491507480
Contig13491_at	unknown	unknown	unknown
Contig13493_at	unknown	unknown	unknown
Contig13494_at	unknown	unknown	unknown
Contig13495_at	5	48.125	352791160
Contig13496_at	2	55.6657223796	243857160
Contig13498_at	7	97.2379603399	541438560
Contig134_s_at	5	140.069444444	520855800
Contig13502_at	4	78.6827195467	495274600
Contig13503_at	unknown	unknown	unknown
Contig13506_at	2	55.8392351275	258130800
Contig13508_at	unknown	unknown	unknown
Contig13512_at	unknown	unknown	unknown
Contig13513_at	2	59.4900849858	456481200
Contig13514_at	unknown	unknown	unknown
Contig13515_at	6	49.6458923512	66894280
Contig13516_at	6	19.4050991502	15469000
Contig13518_at	6	115.934844193	529003840
Contig13519_at	unknown	unknown	unknown
Contig13521_at	4	100.566572238	522604200
Contig13522_at	unknown	unknown	unknown
Contig13523_at	6	60.9235720748	418904240
Contig13525_at	unknown	unknown	unknown
Contig13527_at	unknown	unknown	unknown
Contig13528_at	unknown	unknown	unknown
Contig13529_at	unknown	unknown	unknown
Contig13530_at	unknown	unknown	unknown
Contig13532_at	unknown	unknown	unknown
Contig13533_at	1	72.3796033994	389110760
Contig13535_at	unknown	unknown	unknown
Contig13538_at	7	50.2124645893	67570080
Contig1353_s_at	unknown	unknown	unknown
Contig13541_at	unknown	unknown	unknown
Contig13542_at	5	75.2430555556	435727320
Contig13544_at	unknown	unknown	unknown
Contig13545_at	unknown	unknown	unknown
Contig13546_at	5	37.9513888889	30237400
Contig13547_at	unknown	unknown	unknown
Contig13548_at	2	108.002832861	581285960
Contig13550_at	3	62.0750708215	429593040
Contig13551_at	6	72.2379603399	473930480
Contig13552_at	unknown	unknown	unknown
Contig13553_at	unknown	unknown	unknown
Contig13554_at	unknown	unknown	unknown
Contig13555_at	unknown	unknown	unknown
Contig13558_at	unknown	unknown	unknown
Contig13562_at	3	137.889518414	542208600
Contig13565_at	7	125.141643059	579753320
Contig13569_at	2	99.2569249519	568310600
Contig1356_s_at	unknown	unknown	unknown
Contig13572_at	unknown	unknown	unknown
Contig13573_at	unknown	unknown	unknown
Contig13577_at	unknown	unknown	unknown
Contig13578_at	2	57.4362606232	409896880
Contig13579_at	3	51.6288951841	271639360
Contig1357_at	3	49.2917847025	119802600
Contig13583_at	unknown	unknown	unknown
Contig13587_s_at	unknown	unknown	unknown
Contig13588_at	unknown	unknown	unknown
Contig1358_at	3	49.2917847025	119802600
Contig13590_at	unknown	unknown	unknown
Contig13591_at	7	86.3550519358	529543240
Contig13595_at	unknown	unknown	unknown
Contig13600_at	5	75.9027777778	438008920
Contig13602_at	unknown	unknown	unknown
Contig13606_s_at	unknown	unknown	unknown
Contig13608_at	unknown	unknown	unknown
Contig13609_at	7	66.5486307838	125899680
Contig13611_at	unknown	unknown	unknown
Contig13614_at	unknown	unknown	unknown
Contig13621_s_at	6	66.1650141643	454044600
Contig13623_at	7	27.6203966006	34178120
Contig13628_at	7	128.257790368	584834840
Contig1362_s_at	7	124.575070822	579123400
Contig13630_at	unknown	unknown	unknown
Contig13632_at	1	32.1529745042	27194440
Contig13636_at	unknown	unknown	unknown
Contig13637_at	unknown	unknown	unknown
Contig13638_at	3	20.7507082153	18035800
Contig13641_at	unknown	unknown	unknown
Contig13644_at	2	55.559490085	225253440
Contig13648_at	unknown	unknown	unknown
Contig13652_at	1	48.6898016997	247620560
Contig13653_at	unknown	unknown	unknown
Contig13654_at	unknown	unknown	unknown
Contig13656_at	unknown	unknown	unknown
Contig13657_at	5	128.194444444	502704680
Contig13660_at	unknown	unknown	unknown
Contig13661_at	2	90.1558073654	544084720
Contig13663_at	5	164.722222222	548768200
Contig13664_at	5	130.902777778	506583400
Contig13667_at	1	72.3796033994	389364960
Contig13668_at	unknown	unknown	unknown
Contig13669_at	2	94.8300283286	562234600
Contig1366_at	unknown	unknown	unknown
Contig13670_at	2	58.9235127479	449221000
Contig13673_at	5	44.2361111111	204249080
Contig13674_at	4	63.8633144476	469564440
Contig13675_at	unknown	unknown	unknown
Contig13676_at	unknown	unknown	unknown
Contig13677_at	unknown	unknown	unknown
Contig13678_at	unknown	unknown	unknown
Contig13678_s_at	unknown	unknown	unknown
Contig13681_at	unknown	unknown	unknown
Contig13682_at	1	57.2946175637	329249760
Contig13685_at	unknown	unknown	unknown
Contig13687_at	unknown	unknown	unknown
Contig13689_at	3	46.5297450425	86420560
Contig1368_at	5	47.6483196159	347092120
Contig13690_at	unknown	unknown	unknown
Contig13694_at	unknown	unknown	unknown
Contig13695_at	unknown	unknown	unknown
Contig13698_at	unknown	unknown	unknown
Contig1369_s_at	4	78.6827195467	495274600
Contig13700_at	2	74.2917847026	512036920
Contig13701_at	2	56.3739376771	321081880
Contig13702_at	unknown	unknown	unknown
Contig13703_at	unknown	unknown	unknown
Contig13706_at	unknown	unknown	unknown
Contig13707_at	2	55.5240793201	166815960
Contig13712_at	unknown	unknown	unknown
Contig13713_at	3	46.8838526912	90652680
Contig13714_at	unknown	unknown	unknown
Contig13717_at	unknown	unknown	unknown
Contig13720_at	unknown	unknown	unknown
Contig13722_at	unknown	unknown	unknown
Contig13723_at	unknown	unknown	unknown
Contig13724_at	1	84.5254957507	405148920
Contig13725_at	3	53.895184136	380279480
Contig13726_at	3	79.1430594901	475340360
Contig13727_at	7	38.8101983003	48436880
Contig13732_at	unknown	unknown	unknown
Contig13735_at	6	55.5240793201	314196160
Contig13739_at	4	3.4702549575	6723280
Contig1373_at	4	67.1742209632	475465600
Contig13740_at	5	130.902777778	506583400
Contig13741_at	2	57.0113314448	382168000
Contig13742_at	unknown	unknown	unknown
Contig13743_at	unknown	unknown	unknown
Contig13744_at	6	48.6189801699	46951360
Contig13746_at	unknown	unknown	unknown
Contig13747_at	unknown	unknown	unknown
Contig13754_at	unknown	unknown	unknown
Contig13755_at	2	76.5226628895	521438600
Contig13758_at	unknown	unknown	unknown
Contig13763_at	unknown	unknown	unknown
Contig13765_at	unknown	unknown	unknown
Contig13768_at	7	44.4050991501	54354160
Contig13769_at	2	65.1558073654	483896360
Contig13771_at	unknown	unknown	unknown
Contig13772_at	unknown	unknown	unknown
Contig13774_at	1	6.0198300283	4596680
Contig13776_at	unknown	unknown	unknown
Contig13777_at	unknown	unknown	unknown
Contig13784_at	3	10.5051935789	10439560
Contig13785_at	unknown	unknown	unknown
Contig13786_at	7	68.4135977337	177853200
Contig13788_at	5	114.861111111	486459440
Contig13791_at	5	60.9953703703	407393320
Contig13792_s_at	5	139.930555556	519376480
Contig13794_at	unknown	unknown	unknown
Contig13797_at	5	98.8020833333	474738960
Contig13798_at	unknown	unknown	unknown
Contig13799_at	4	91.1827195468	507074440
Contig137_x_at	unknown	unknown	unknown
Contig13800_at	unknown	unknown	unknown
Contig13803_at	unknown	unknown	unknown
Contig13804_at	unknown	unknown	unknown
Contig13805_at	unknown	unknown	unknown
Contig13806_at	unknown	unknown	unknown
Contig13809_at	unknown	unknown	unknown
Contig1380_s_at	unknown	unknown	unknown
Contig13810_at	5	91.6666666667	459121160
Contig13811_at	unknown	unknown	unknown
Contig13813_at	unknown	unknown	unknown
Contig13814_at	4	47.3441926345	49368120
Contig13816_at	unknown	unknown	unknown
Contig13817_at	unknown	unknown	unknown
Contig13821_at	1	90.2974504249	416013800
Contig13823_at	unknown	unknown	unknown
Contig13824_at	3	46.1756373938	54784440
Contig13825_at	7	2.5495750708	5888760
Contig13827_at	unknown	unknown	unknown
Contig13828_at	unknown	unknown	unknown
Contig13829_s_at	unknown	unknown	unknown
Contig1382_at	unknown	unknown	unknown
Contig13832_at	unknown	unknown	unknown
Contig13834_at	unknown	unknown	unknown
Contig13835_at	unknown	unknown	unknown
Contig13837_at	unknown	unknown	unknown
Contig13839_at	unknown	unknown	unknown
Contig1383_s_at	3	49.2917847025	126787520
Contig13840_at	4	81.3739376771	500662400
Contig13841_at	unknown	unknown	unknown
Contig13842_at	unknown	unknown	unknown
Contig13844_at	unknown	unknown	unknown
Contig13847_s_at	1	119.688385269	452947200
Contig13849_at	unknown	unknown	unknown
Contig13851_at	4	51.4164305949	286358160
Contig13852_at	unknown	unknown	unknown
Contig13855_at	1	48.1753719933	169362920
Contig13856_at	2	2.2662889518	3660480
Contig13857_at	5	60.9953703703	407393320
Contig1385_at	unknown	unknown	unknown
Contig13861_at	unknown	unknown	unknown
Contig13862_at	2	142.351274787	617931680
Contig13864_at	5	138.958333333	517375120
Contig13865_at	2	149.362606232	627567720
Contig13866_at	unknown	unknown	unknown
Contig13867_s_at	unknown	unknown	unknown
Contig13871_at	unknown	unknown	unknown
Contig13875_at	unknown	unknown	unknown
Contig13877_at	unknown	unknown	unknown
Contig13878_at	6	49.0793201133	51143800
Contig13879_at	2	52.7620396601	89325880
Contig1387_at	7	69.0542601874	183114520
Contig13883_at	unknown	unknown	unknown
Contig13884_at	4	54.3201133144	397129840
Contig13885_at	unknown	unknown	unknown
Contig13888_at	unknown	unknown	unknown
Contig13890_at	7	47.7337110482	62305040
Contig13892_at	unknown	unknown	unknown
Contig13895_at	unknown	unknown	unknown
Contig13898_at	unknown	unknown	unknown
Contig13899_at	unknown	unknown	unknown
Contig1389_s_at	unknown	unknown	unknown
Contig13900_at	2	82.507082153	532262560
Contig13901_at	unknown	unknown	unknown
Contig13902_at	unknown	unknown	unknown
Contig13905_at	unknown	unknown	unknown
Contig13906_at	3	46.3172804533	82195880
Contig1390_M_at	1	6.0198300283	4596680
Contig13912_at	unknown	unknown	unknown
Contig13913_at	unknown	unknown	unknown
Contig13915_at	5	146.111111111	528432200
Contig13917_at	6	55.0283286119	262061600
Contig13918_at	unknown	unknown	unknown
Contig13919_at	unknown	unknown	unknown
Contig1391_at	1	48.3711048159	224425120
Contig13921_at	5	136.215277778	510643160
Contig13922_at	unknown	unknown	unknown
Contig13923_at	unknown	unknown	unknown
Contig13926_at	7	97.6550747289	544488960
Contig13928_at	unknown	unknown	unknown
Contig13932_at	unknown	unknown	unknown
Contig13933_at	unknown	unknown	unknown
Contig13936_at	unknown	unknown	unknown
Contig13938_at	7	70.5382436261	247947920
Contig13939_at	unknown	unknown	unknown
Contig13940_at	4	57.2946175637	429465320
Contig13945_at	unknown	unknown	unknown
Contig13946_at	6	56.4093484419	350672000
Contig13948_at	unknown	unknown	unknown
Contig13949_at	unknown	unknown	unknown
Contig13952_at	6	53.1161473088	145760760
Contig13953_at	3	117.634560906	520010120
Contig13959_at	unknown	unknown	unknown
Contig13967_at	unknown	unknown	unknown
Contig13968_at	2	22.1671388102	24787600
Contig13969_at	unknown	unknown	unknown
Contig13970_at	2	87.6416430595	540117960
Contig13971_at	unknown	unknown	unknown
Contig13973_at	4	51.4164305949	226698040
Contig13975_at	unknown	unknown	unknown
Contig13976_at	unknown	unknown	unknown
Contig13978_at	unknown	unknown	unknown
Contig13979_at	3	75.9560906516	468140920
Contig1397_at	unknown	unknown	unknown
Contig13980_at	6	35.6232294618	24792560
Contig13982_at	5	126.128472222	500865760
Contig13983_at	5	155.25462963	539135880
Contig13984_at	unknown	unknown	unknown
Contig13986_at	unknown	unknown	unknown
Contig13987_at	unknown	unknown	unknown
Contig13988_at	3	49.5731305056	139991040
Contig13989_at	4	84.4716098042	502512480
Contig13994_s_at	6	108.569405099	524059960
Contig13996_at	5	44.2361111111	145604520
Contig13997_at	5	50.7986111111	386583640
Contig14002_at	4	54.4617563739	400552240
Contig14003_at	2	59.8292235385	457940680
Contig14005_at	1	58.3569405099	339420240
Contig14007_at	unknown	unknown	unknown
Contig14008_at	7	17.5637393768	20985760
Contig14009_s_at	unknown	unknown	unknown
Contig14011_at	1	48.6543909348	247318000
Contig14019_at	4	64.5538243626	471326480
Contig1401_at	1	47.6628895184	96808040
Contig14020_at	unknown	unknown	unknown
Contig14021_at	unknown	unknown	unknown
Contig14022_at	unknown	unknown	unknown
Contig14024_at	unknown	unknown	unknown
Contig14026_at	4	52.9745042493	361167360
Contig14028_at	unknown	unknown	unknown
Contig14029_at	7	97.3087818697	542097000
Contig1402_at	3	12.1104815864	11292680
Contig14031_at	6	119.121813031	534365600
Contig14032_at	unknown	unknown	unknown
Contig14034_at	unknown	unknown	unknown
Contig14037_at	unknown	unknown	unknown
Contig14041_at	unknown	unknown	unknown
Contig14045_at	unknown	unknown	unknown
Contig14046_at	unknown	unknown	unknown
Contig14048_at	unknown	unknown	unknown
Contig14049_at	unknown	unknown	unknown
Contig1404_x_at	3	12.1104815864	11111640
Contig14050_at	unknown	unknown	unknown
Contig14051_at	unknown	unknown	unknown
Contig14053_at	unknown	unknown	unknown
Contig14054_at	5	121.736111111	493999880
Contig14056_at	3	51.6288951841	328985640
Contig14057_at	unknown	unknown	unknown
Contig14059_at	unknown	unknown	unknown
Contig14060_at	5	95.4861111111	465729120
Contig14061_at	7	119.54674221	570223920
Contig14065_at	3	40.3753541077	37481480
Contig14066_at	unknown	unknown	unknown
Contig14067_at	5	45.2083333333	292528400
Contig14068_at	5	41.8055555556	45689040
Contig14073_at	unknown	unknown	unknown
Contig14075_at	1	70.7152974504	381799720
Contig14076_at	7	38.8101983003	48436880
Contig14077_at	unknown	unknown	unknown
Contig14083_at	3	61.8980169972	426657960
Contig14085_at	unknown	unknown	unknown
Contig14089_at	6	60.3399433428	404569840
Contig14092_at	unknown	unknown	unknown
Contig14094_at	6	75.4957507082	490541520
Contig14095_at	unknown	unknown	unknown
